00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
bao phuc	(từ cũ, nghĩa cũ) Revevge, avenge
bao phuc	(từ cũ, nghĩa cũ) Revevge, avenge
bo tran	(từ cũ, nghĩa cũ) Dispose troops in battle-array
bo tran	(từ cũ, nghĩa cũ) Dispose troops in battle-array
bóc	(verb) to peel ; to skin; to husk
bóc	(verb) to peel ; to skin; to husk
bóc	(noun) Bundle; Amniotic sac, womb
bóc	(verb) To cover; To enclose, to surround
bóc	(verb) To pick up in one's hands, to scoop up with one's hands; To make up (một đơn thuốc bắc); To draw (lá bài, que thăm)
bộ chính trị	Politburo
bộ chính trị	Politburo
cau doi	Parallel sentences; Pair of wood panels (on which are inscribed parallel sentences)
cau doi	Parallel sentences; Pair of wood panels (on which are inscribed parallel sentences)
chu han	(noun) chinese characters
chu han	(noun) chinese characters
chết chửa	My goodness!
chết chửa	My goodness!
còn nữa	More
còn nữa	More
dai truyen	Driving belt
dai truyen	Driving belt
dia y	(thực vật) lichen
dia y	(thực vật) lichenbam tru	Hold on to (a military position)
duong nao	How much
duong nao	How much
gan guoc	Rugged
gan guoc	Rugged
giày xéo	Trample upon
giày xéo	Trample upon
ha da	To one's heart's content
ha da	To one's heart's content
hoac loan	(từ cũ; nghĩa cũ) Cholera
hoac loan	(từ cũ; nghĩa cũ) Cholera
hành hung	Commit assult and battery, indulge in violence
hành hung	Commit assult and battery, indulge in violence
hột cơm	Wart
hột cơm	Wart
khon le	Impossible; It is impossible for a bird in cage to soar up in the air
khon le	Impossible; It is impossible for a bird in cage to soar up in the air
kinh hien vi	(noun) microscope
kinh hien vi	(noun) microscope
liệt	(verb) to rank; to assort
liệt	(adj) paralysed; paralytic
liệt	(verb) to rank; to assort
liệt	(adj) paralysed; paralytic
lầu xanh	(noun) brothel
lầu xanh	(noun) brothel
mùi vị	(noun) taste, seent
mùi vị	(noun) taste, seent
nghi le	Rites, rituals, ceremony
nghi le	Rites, rituals, ceremony
nghi le	Be on holiday, be on one's holidays
ngầm	(adj) secret, underground ; tacit
ngầm	(verb) to ponder, to reflect upon, to think over
ngầm	(verb) to hold in one's mouth
ngầm	(verb) to contemplate;to look at admire oneself
ngầm	Dovetail halving
ngầm	Dovetail halving
ngầm	(ít dùng) To fit, to be just right
ngầm	(verb) to soak; to steep. to declaim; to recite
ngầm	Threaten, intimidate; Tawny
ngầm	(verb) (of tea). to draw
nhue nhoa	Perfunctorily, by halves
nhue nhoa	Perfunctorily, by halves
noi kho	Expatiate (elaborate) on one's diffculties
noi kho	Expatiate (elaborate) on one's diffculties
noi kho	Very intimate, bosom (friend)
nội bào	(sinh vật) Intracelluler
nội bào	(sinh vật) Intracelluler
phien thuoc	(sử học) Vassal state
phien thuoc	(sử học) Vassal state
phấn khởi	(adj) excited, encouraged
phấn khởi	(adj) excited, encouraged
quý mến	Love and esteem
quý mến	Love and esteem
rú	(noun) forest
rú	(verb) to scream; to yell
rú	(to be tired out)
rú	verb to droop; to hang
rú	(từ cũ) như ru
rú	Call for (someone and ask him to go or do something with one); Hang down
rú	xem nhức
rú	(verb) to rock; to sing; to lull ru con to lull one's child to sleep
rú	Gloomy; Affected by Newcastle's disease (nói về gà)
sinh quyen	Biosphere
sinh quyen	Biosphere
sư sinh	Teacher and pupil
sư sinh	Teacher and pupil
thang cha	(noun) chap, fellow, bloke
thang cha	(noun) chap, fellow, bloke
thông cáo	(noun) communique
thông cáo	(noun) communique
tranh cu	(verb) to stand for, to run for
tranh cu	(verb) to stand for, to run for
tét	(verb) to split, to cut
tét	(adj) flat
tét	(noun) New Year's Day, Tet festival; To the Vietnamese people, Tết Nguyên Đán (Lunar New Year's Day) is very sacred. The Tết season usually falls on either the second half of the first calendar month, or the early days of the second calendar month of the year. This is the time when family members together make food, fruit and incense offerings on the family altars to commemorate their ancestors. This is also the time for people to visit their neighbours, their friends and relatives. During the first three or four days of Tết, any visitor who is the first visitor to one's house to offer Tết greetings would be considered as the first visitor for the year (Xông đất). Their good or bad luck would have a strong effect on the house owner's business success for the coming year. The belief of Xông đất remains very strong nowadays, especially among business people. Tết days are always regarded as a perfect time for people to enjoy traditional food such as bánh chưng, a square-shaped sticky rice cake, the fragrance of which alone could strongly provoke one's sense of nostalgia for Tết; WHAT TẾT MEANS FOR HANOIAN CHRISTIANS Hà Nội (originally called Thăng Long) was an early site for the propagation of Christianity. Phan Phát Huờn, author of ""Việt Nam Giáo Sử"" Vol.1 (A History of Religion in Vietnam), writes that in 1581, a missionary named De Pesaro wrote a letter and sent pictures depicting the history of Christianity to Mạc Mậu Hợp (the then ruler of Thăng Long). In 1584, another missionary, Bartholomew Ruiz of the Franciscan Order from Manila, came with an interpreter to Northern Vietnam (then called Tonkin) and Thăng Long. He was warmly received by Mạc Mậu Hợp and allowed to hold his services and ceremonies. In 1626, Father Baldinoti arrived in Thăng Long and was greeted by Trịnh Tráng, the then Lord of the North. He was also granted permission to hold services for the public. This put the Christian faith in Vietnam well on its way. A real landmark came in 1627, when missionary Alexandre de Rhodes came to Hà Nội on July 2 after Lord Trịnh Tráng returned from his expedition to the South. This event effected a marked change in the propagation of Christianity in Northern Vietnam. From just a wooden hut provided by Trịnh Tráng, Rhodes set up a small prayer-hall to preach his faith and by the end of 1627, he had baptised over 1,200 people. In 1628, another ,000 were baptised, with this number growing to 3,500 in 1629. At the same time, Rhodes romanised the Vietnamese language in order to further facilitate the spread of Christianity. He also wrote a book in Vietnamese called 'Christianity in Eight Days'. To provide a stronger base for Christianity, he incorporated local customs and traditions to his religious festivals and practices, especially during the Tết Festival period. The New Year festival, according to the local people's lunar calendar, is one of the most important annual events for the people of this agricultural economy. During the festival, people erect in front of their houses a high bamboo pole called a 'cây nêu' to ward off evil spirits. Taking full advantage of this tradition, he advised people, especially his Christian followers, to hang a cross on top of the pole to highlight theTrinity. He advised followers to offer prayers in the first three days of the New Year to the Holy Father, Holy Son and Holy Ghost and thanksgiving to the Trinity and saints of the religion. In 1805, the Bishop of Vietnam wrote to all Christians in Northern Vietnam during the New Year festival urging them to be brothers and offer each other good wishes, entertain and dine with each other. This remains a good and healthy practice. These practices were maintained until the 1960s, after which new ones were introduced. For instance, the second day of the New Year is used to commemorate ancestors, in keeping with the Vietnamese custom. Interestingly, Vietnamese Christians have included various Christian festivals in the lunar calendar. Following the Trinity festival and the Candle festival comes Tết. Thus, they say: 'Ba Vua, Lễ Nến, Tết đến sau lưng' (If Epiphany and Candlemas have come, Tết cannot be far behind). Christian churches also prepare for Tết putting up beautiful decorations and engaging in communal activities
tét	(verb) to split, to cut
vòng hoa	(noun) wreath
vòng hoa	(noun) wreath
ê chề	(adj) shameful
ê chề	Shameful; ashamed
ê chề	(adj) shameful
đút nút	Cork, stop with a cork; Tug away
đút nút	Cork, stop with a cork; Tug away
đức dục	Elevating education, moral educaton00-database-short	FVDP Vietnamese-English dictionary; OVDP Vietnamese-English dictionary
đức dục	Elevating education, moral educaton
bao phủ	(verb) To wrap, to cover, to envelop
bo tri	(verb) To arrange, to lay
bo tri	(verb) To arrange, to lay
bóc lột	(verb) to sweat, to rob; to plunder
bóc lột	(verb) to sweat, to rob; to plunder
bộ chỉ huy	như bộ tư lệnh
bộ chỉ huy	như bộ tư lệnh
cau duong	Bridges and roads
cau duong	Bridges and roads
chu hau	(noun) Vassal, vassal state, satellite state
chu hau	(noun) Vassal, vassal state, satellite state
chết giấc	(verb) To lose consciousness, to fall into a dead faint, to swoon
chết giấc	(verb) To lose consciousness, to fall into a dead faint, to swoon
còn trinh	Virgin; chaste; Sexually pure
còn trinh	Virgin; chaste; Sexually pure
dai tu	Overhaul
dai tu	Overhaul
dai tu	Pronoun
dai tu	Big character, big calligraphic sing
dich	(verb) to translate; to turn; To decode
dich	(noun) (rud) epidemic juice; liquid; fluid
dich	Enemy, adversary,foẹ; Cope with, deal with, macthban bat	(adj) Tremulous
dich	(verb) to translate; to turn; To decode
dich	(noun) (rud) epidemic juice; liquid; fluid
dich	(noun) mark; target; aim butt
duong ngoi	Parting
duong ngoi	Parting
gan góc	(adj) fearless, intrepid
gan góc	(adj) fearless, intrepid
giày ống	Boot
giày ống	Boot
ha de	Not at all easy
ha de	Not at all easy
hoach dinh	(verb) to form; to define; to determine
hoach dinh	(verb) to form; to define; to determine
hành hình	(verb) to execute; to put (a prisoner) to death
hành hình	(verb) to execute; to put (a prisoner) to death
hột xoài	Chance (kind of venereal disease)
hột xoài	Chance (kind of venereal disease)
khon lon	Grow up to the age of discretion
khon lon	Grow up to the age of discretion
kinh hoang	(adj) scared; consternated; frightened
kinh hoang	(adj) scared; consternated; frightened
liệt dương	(adj) impotent; with out sexual power
liệt dương	(adj) impotent; with out sexual power
lầy	(adj) boggy; swampy
lầy	(verb) to repeat; to reiterate
lầy	(verb) to spread; to infect; to communicate
lầy	(verb) to shake
lầy	(verb) to prostrate oneself; to kowtow
lầy	(verb) to take; To carry out; to walk off; To pull; to withdraw
mùn	Humus; Dust, particle
mùn	Acne, pimple, black-head; Pustule, eruption; Bit, piece; Child (of a small family)
mùn	Decayed
mùn	Ash; Ebony
nghi luan	(verb) to deliberate, to debate
nghi luan	(verb) to deliberate, to debate
ngầm ngập	Without leaving any traces
ngầm ngập	Without leaving any traces
nhui	Push in
nhui	(địa phương) như giúi
